127.0.0.1 - - [30/Sep/2021:20:09:11 +0900] "GET / HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /util/key/pinpad.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /util/key/pinpad.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /storage/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /storage/img/ckIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /storage/img/ckIconOk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:12 +0900] "GET /storage/img/Login-background.png HTTP/1.1" 200 1393632
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "POST /member?cmd=login.do HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /home?cmd=index HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/css/fullcalendar.min.css HTTP/1.1" 200 16066
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/css/select2.min.css HTTP/1.1" 200 15275
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:09:24 +0900] "GET /util/fullCalendar/vendor/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
