127.0.0.1 - - [07/Jan/2022:18:40:44 +0900] "GET / HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /css/index.css HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /util/key/pinpad.css HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /util/key/pinpad.js HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /js/index.js HTTP/1.1" 200 11793
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /storage/img/ckIcon.png HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /storage/img/Logo.png HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /storage/img/ckIconOk.png HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /css/reset.css HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:46 +0900] "GET /storage/img/Login-background.png HTTP/1.1" 200 1393632
0:0:0:0:0:0:0:1 - - [07/Jan/2022:18:40:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
